hash,timestamp,blockNumber,status,route,testMode,sourceToken,targetToken,amountIn,amountInFormatted,finalBalance,finalBalanceFormatted,profit,profitFormatted,profitPercent,firstLeg_dex,firstLeg_router,firstLeg_expectedOutput,firstLeg_actualOutput,firstLeg_outputDelta,firstLeg_accuracyPercent,secondLeg_dex,secondLeg_router,secondLeg_expectedOutput,secondLeg_actualOutput,secondLeg_outputDelta,secondLeg_accuracyPercent,overallAccuracy,profitPredictionAccuracy,profitImpact,gasUsed,gasPrice,gasCost,gasCostInUSD,executionTime,quoteAge
0xa64df91462d8a3e1c9d89853f72899090842d59af46ce1ff216529b1606a2991,2025-03-15T18:34:53.000Z,58769296,success,traderjoe-to-uniswap,true,USDC,WAVAX,970811,0.970811,50995442,50.995442,-1003,-0.001003,-0.10,traderjoe,0x18556DA13313f3532c54711497A8FedAC273220E,51953753240408910,51953753240408910,0,0.00,uniswap,0xbb00FF08d01D300023C629E8fFfFcb65A5a578cE,969808,969808,0,0.00,0.00,100.00,-0.00,339084,3000000000,0.001017252,0.02,17,0
0x497b16be9085ef944065be4b0f476a53477a9003ae7926cfe15ff7e5664bc52c,2025-03-15T18:35:27.000Z,58769314,success,traderjoe-to-uniswap,true,USDC,WAVAX,962236,0.962236,50993979,50.993979,-702,-0.000702,-0.07,traderjoe,0x18556DA13313f3532c54711497A8FedAC273220E,51494882386029402,51494882386029402,0,0.00,uniswap,0xbb00FF08d01D300023C629E8fFfFcb65A5a578cE,961534,961534,0,0.00,0.00,100.00,-0.00,334690,3000000000,0.00100407,0.02,17,0
0x4662c641b2b51ba91483611678a6754223751ef2a2da6d9f9fa20347c956bbae,2025-03-15T18:35:59.000Z,58769329,success,traderjoe-to-uniswap,true,USDC,WAVAX,1015949,1.015949,50992100,50.9921,-742,-0.000742,-0.07,traderjoe,0x18556DA13313f3532c54711497A8FedAC273220E,54369370198710556,54369370198710556,0,0.00,uniswap,0xbb00FF08d01D300023C629E8fFfFcb65A5a578cE,1015207,1015207,0,0.00,0.00,100.00,0.00,334690,3000000000,0.00100407,0.02,17,0
0xda5d489d01630a970b4c8d4d1b2b2c2bebb65290eb68d766884d1ef032d8f0f7,2025-03-15T18:48:42.000Z,58769715,success,traderjoe-to-uniswap,true,USDC,WAVAX,15089742,15.089742,50964945,50.964945,-7923,-0.007923,-0.05,traderjoe,0x18556DA13313f3532c54711497A8FedAC273220E,810770600432496688,810770600432496688,0,0.00,uniswap,0xbb00FF08d01D300023C629E8fFfFcb65A5a578cE,15081819,15081819,0,0.00,0.00,100.00,-0.00,334674,3000000000,0.001004022,0.02,17,0
0x6ab3e4c35d1e8a52180825065c3dfd1fc305eb3cfb399403dc119242776f58b6,2025-03-15T18:49:19.000Z,58769734,success,traderjoe-to-uniswap,true,USDC,WAVAX,15280489,15.280489,50931471,50.931471,-15500,-0.0155,-0.10,traderjoe,0x18556DA13313f3532c54711497A8FedAC273220E,821825625157634325,821825625157634325,0,0.00,uniswap,0xbb00FF08d01D300023C629E8fFfFcb65A5a578cE,15264989,15264989,0,0.00,0.00,100.00,-0.00,334710,3000000000,0.00100413,0.02,17,0
0xf21c78ffd98cb82e8616d2702b8b8425c5ff72775b996df02cbf0d827650f714,2025-03-15T18:49:50.000Z,58769747,success,traderjoe-to-uniswap,true,USDC,WAVAX,14428509,14.428509,50904255,50.904255,-14289,-0.014289,-0.09,traderjoe,0x18556DA13313f3532c54711497A8FedAC273220E,776003823767054610,776003823767054610,0,0.00,uniswap,0xbb00FF08d01D300023C629E8fFfFcb65A5a578cE,14414216,14414220,0.000004000000000559112,0.00,0.00,100.00,0.00,334710,3000000000,0.00100413,0.02,17,0
0x39fb4a382e9416103a25d73c84d90bf3f1a2559c4c9e4d978eb760add133ea5f,2025-03-15T18:50:42.000Z,58769772,success,traderjoe-to-uniswap,true,USDC,WAVAX,14577451,14.577451,50868438,50.868438,-18989,-0.018989,-0.13,traderjoe,0x18556DA13313f3532c54711497A8FedAC273220E,783346911615285595,783346911615285595,0,0.00,uniswap,0xbb00FF08d01D300023C629E8fFfFcb65A5a578cE,14558462,14558462,0,0.00,0.00,100.00,-0.00,351992,3000000000,0.001055976,0.02,18,0
0xd9b7c1f7ccd1496efd3195b2d7941e0d65ee9506080b19726240dee66f8eb358,2025-03-15T18:51:40.000Z,58769802,success,traderjoe-to-uniswap,true,USDC,WAVAX,14311618,14.311618,50836098,50.836098,-18299,-0.018299,-0.12,traderjoe,0x18556DA13313f3532c54711497A8FedAC273220E,768962995880605303,769079087050237816,0.00011609116963251509,0.02,uniswap,0xbb00FF08d01D300023C629E8fFfFcb65A5a578cE,14293319,14293319,-1.7763568394002505e-15,-0.00,0.01,100.00,-0.00,334582,3000000000,0.001003746,0.02,18,0
0x2ac69469fdb6c37b4b597cc70597c73ca04c3c606c13944d232368467cf83fd0,2025-03-15T18:52:12.000Z,58769820,success,traderjoe-to-uniswap,true,USDC,WAVAX,15571570,15.57157,50816558,50.816558,-9629,-0.009629,-0.06,traderjoe,0x18556DA13313f3532c54711497A8FedAC273220E,837480755352062214,837596846521694727,0.00011609116963251509,0.01,uniswap,0xbb00FF08d01D300023C629E8fFfFcb65A5a578cE,15566992,15561941,-0.005051000000001693,-0.03,-0.02,100.00,-0.03,317613,3000000000,0.000952839,0.02,17,0
0x26c4ecd82dc897197481b5fb85d3e8582f4e5a9047eb06ac0676d62e85e17266,2025-03-15T18:52:48.000Z,58769837,success,traderjoe-to-uniswap,true,USDC,WAVAX,15326653,15.326653,50777170,50.77717,-21065,-0.021065,-0.13,traderjoe,0x18556DA13313f3532c54711497A8FedAC273220E,824308441554930413,824424532724562926,0.00011609116963251509,0.01,uniswap,0xbb00FF08d01D300023C629E8fFfFcb65A5a578cE,15305588,15305588,0,0.00,0.00,100.00,0.00,317627,3000000000,0.000952881,0.02,17,0
0xbf1e4c92e5c352b1aafa55347697950f8c7f98efc25ff2d6c41f306bce41c584,2025-03-15T18:53:19.000Z,58769852,success,traderjoe-to-uniswap,true,USDC,WAVAX,14466963,14.466963,50745086,50.745086,-25105,-0.025105,-0.17,traderjoe,0x18556DA13313f3532c54711497A8FedAC273220E,778072012408682276,778188103578314789,0.00011609116963251509,0.01,uniswap,0xbb00FF08d01D300023C629E8fFfFcb65A5a578cE,14441858,14441858,0,0.00,0.00,100.00,-0.00,317575,3000000000,0.000952725,0.02,17,0
0xa6cace38be6c8f779486d640fa49dedc542264c5968fe16b811813d2af63f9fa,2025-03-15T18:53:52.000Z,58769869,success,traderjoe-to-uniswap,true,USDC,WAVAX,14253652,14.253652,50720896,50.720896,-22261,-0.022261,-0.15,traderjoe,0x18556DA13313f3532c54711497A8FedAC273220E,766599586320456840,766715677490089353,0.00011609116963251509,0.02,uniswap,0xbb00FF08d01D300023C629E8fFfFcb65A5a578cE,14231389,14231391,0.000002000000000279556,0.00,0.01,100.00,0.00,316631,3000000000,0.000949893,0.02,17,0
0x95d5f8c914c9597a2f3a4cd8ada7e1335c3458fca6dab245bec55427d06e3257,2025-03-15T18:54:25.000Z,58769886,success,traderjoe-to-uniswap,true,USDC,WAVAX,14356367,14.356367,50694127,50.694127,-22384,-0.022384,-0.15,traderjoe,0x18556DA13313f3532c54711497A8FedAC273220E,772123885087940946,772239976257573459,0.00011609116963251509,0.02,uniswap,0xbb00FF08d01D300023C629E8fFfFcb65A5a578cE,14333983,14333983,0,0.00,0.01,100.00,0.00,316631,3000000000,0.000949893,0.02,17,0
0xf8fd7ef0db082dc409bf712fd37645885f08a392791e3cda95ef33df124d42ba,2025-03-15T18:54:59.000Z,58769903,success,traderjoe-to-uniswap,true,USDC,WAVAX,15561820,15.56182,50664893,50.664893,-15335,-0.015335,-0.09,traderjoe,0x18556DA13313f3532c54711497A8FedAC273220E,837624140572886226,837728472485822225,0.00010433191293601762,0.01,uniswap,0xbb00FF08d01D300023C629E8fFfFcb65A5a578cE,15546485,15546485,0,0.00,0.00,100.00,0.00,334868,3000000000,0.001004604,0.02,18,0
0xfcafff51cea8ae5a7a139d1fd2afce49004cfd0f04367d28f5966a657e96c797,2025-03-15T18:55:34.000Z,58769920,success,traderjoe-to-uniswap,true,USDC,WAVAX,14981502,14.981502,50638942,50.638942,-12039,-0.012039,-0.08,traderjoe,0x18556DA13313f3532c54711497A8FedAC273220E,806530061325889270,806634393238825269,0.00010433191293601762,0.01,uniswap,0xbb00FF08d01D300023C629E8fFfFcb65A5a578cE,14969463,14969463,1.7763568394002505e-15,0.00,0.00,100.00,0.00,317561,3000000000,0.000952683,0.02,17,0
0x4966a024450d8b6ba30c6a528a35e44536d0d0e3202366af621cb837b45000d7,2025-03-15T18:56:07.000Z,58769937,success,traderjoe-to-uniswap,true,USDC,WAVAX,15100308,15.100308,50610535,50.610535,-12122,-0.012122,-0.08,traderjoe,0x18556DA13313f3532c54711497A8FedAC273220E,812925947398299616,813030279311235615,0.00010433191293601762,0.01,uniswap,0xbb00FF08d01D300023C629E8fFfFcb65A5a578cE,15088186,15088186,0,0.00,0.00,100.00,-0.00,317585,3000000000,0.000952755,0.02,17,0
0xcb38a0312df6d33cf91e9bcd7f043121c88cc734971fbe8dda8f778eb05aaad9,2025-03-15T18:56:44.000Z,58769957,success,traderjoe-to-uniswap,true,USDC,WAVAX,15593976,15.593976,50581934,50.581934,-12506,-0.012506,-0.08,traderjoe,0x18556DA13313f3532c54711497A8FedAC273220E,839502609584120186,839606941497056185,0.00010433191293601762,0.01,uniswap,0xbb00FF08d01D300023C629E8fFfFcb65A5a578cE,15581470,15581470,0,0.00,0.00,100.00,0.00,317585,3000000000,0.000952755,0.02,17,0
0x8d86073b0fc362a65efc67bee4f142cb1ee91422c568fc160470dc9c9376e882,2025-03-15T18:57:19.000Z,58769976,success,traderjoe-to-uniswap,true,USDC,WAVAX,14576120,14.57612,50544359,50.544359,-20678,-0.020678,-0.14,traderjoe,0x18556DA13313f3532c54711497A8FedAC273220E,784706296903842677,784810628816778676,0.00010433191293601762,0.01,uniswap,0xbb00FF08d01D300023C629E8fFfFcb65A5a578cE,14555442,14555442,0,0.00,0.00,100.00,0.00,317585,3000000000,0.000952755,0.02,17,0
0xe68e07bcc25333be3a2f71ce70e8c1be9e27bcd09b2eea896876fbc07709d092,2025-03-15T18:57:52.000Z,58769993,success,traderjoe-to-uniswap,true,USDC,WAVAX,14884008,14.884008,50522777,50.522777,-6745,-0.006745,-0.04,traderjoe,0x18556DA13313f3532c54711497A8FedAC273220E,802055440647220238,802159772560156237,0.00010433191293601762,0.01,uniswap,0xbb00FF08d01D300023C629E8fFfFcb65A5a578cE,14877263,14877263,0,0.00,0.00,100.00,0.00,317625,3000000000,0.000952875,0.02,17,0
0xb8dcdfd689c88e160c49bfe566cee6c1ecdb6a74cd4bf747d640c982220ec8e1,2025-03-15T18:58:25.000Z,58770008,success,traderjoe-to-uniswap,true,USDC,WAVAX,14473178,14.473178,50493539,50.493539,-9941,-0.009941,-0.06,traderjoe,0x18556DA13313f3532c54711497A8FedAC273220E,779916994332411808,780021326245347807,0.00010433191293601762,0.01,uniswap,0xbb00FF08d01D300023C629E8fFfFcb65A5a578cE,14463237,14463237,1.7763568394002505e-15,0.00,0.00,100.00,0.00,317645,3000000000,0.000952935,0.02,17,0
0x1a87445000c1c56d7e62138d550bc15e68b74b04f81787a2c2c48cbbcfa10020,2025-03-15T18:58:59.000Z,58770025,success,traderjoe-to-uniswap,true,USDC,WAVAX,15050243,15.050243,50452863,50.452863,-23488,-0.023488,-0.15,traderjoe,0x18556DA13313f3532c54711497A8FedAC273220E,810230703309108296,810335035222044295,0.00010433191293601762,0.01,uniswap,0xbb00FF08d01D300023C629E8fFfFcb65A5a578cE,15026755,15026755,0,0.00,0.00,100.00,0.00,317589,3000000000,0.000952767,0.02,17,0
0xfd20d421967d70d8942d2c26a5daffb009dd9f935eb1abccb4a6fd0796c1f107,2025-03-15T18:59:32.000Z,58770042,success,traderjoe-to-uniswap,true,USDC,WAVAX,15744264,15.744264,50430879,50.430879,-9505,-0.009505,-0.06,traderjoe,0x18556DA13313f3532c54711497A8FedAC273220E,847593350798184992,847697682711120991,0.00010433191293601762,0.01,uniswap,0xbb00FF08d01D300023C629E8fFfFcb65A5a578cE,15734759,15734759,-1.7763568394002505e-15,-0.00,0.00,100.00,-0.00,316631,3000000000,0.000949893,0.02,17,0
0x4c18613bdc8e2410ac8d97ab3fe84a59b580242d31e7c22170b2bc832ec55ac6,2025-03-15T19:00:08.000Z,58770061,success,traderjoe-to-uniswap,true,USDC,WAVAX,15121864,15.121864,50401641,50.401641,-9131,-0.009131,-0.06,traderjoe,0x18556DA13313f3532c54711497A8FedAC273220E,814086407194984725,814190739107920724,0.00010433191293601762,0.01,uniswap,0xbb00FF08d01D300023C629E8fFfFcb65A5a578cE,15112733,15112733,0,0.00,0.00,100.00,0.00,316631,3000000000,0.000949893,0.02,17,0
0x1df4ec61a104ba7c071c8da9775cb1d5dd3260e1b1cf9cdd939db0e6871306a3,2025-03-15T19:00:42.000Z,58770079,success,traderjoe-to-uniswap,true,USDC,WAVAX,14675306,14.675306,50355209,50.355209,-27715,-0.027715,-0.18,traderjoe,0x18556DA13313f3532c54711497A8FedAC273220E,790046360411578081,790150692324514080,0.00010433191293601762,0.01,uniswap,0xbb00FF08d01D300023C629E8fFfFcb65A5a578cE,14653685,14647591,-0.006093999999999156,-0.04,-0.02,100.00,-0.04,334682,3000000000,0.001004046,0.02,18,0
0xf9333c076b4bc68d18434c43e7c63e111b271c3cbbd1d535d36bfac61036583e,2025-03-15T19:01:13.000Z,58770097,success,traderjoe-to-uniswap,true,USDC,WAVAX,14813094,14.813094,50315361,50.315361,-24793,-0.024793,-0.16,traderjoe,0x18556DA13313f3532c54711497A8FedAC273220E,798998718136018384,799445697795812624,0.00044697965979423326,0.06,uniswap,0xbb00FF08d01D300023C629E8fFfFcb65A5a578cE,14788301,14788301,-1.7763568394002505e-15,-0.00,0.02,100.00,-0.00,317598,3020921451,0.000959438610994698,0.02,17,0
0x9539d5ac41b8e9cd1a0d99b0a8a478ec9052c2c3750b93631a41b7db564205d7,2025-03-15T19:01:47.000Z,58770114,success,traderjoe-to-uniswap,true,USDC,WAVAX,14349998,14.349998,50300508,50.300508,-21896,-0.021896,-0.15,traderjoe,0x18556DA13313f3532c54711497A8FedAC273220E,774209771454890712,774656751114684952,0.00044697965979423326,0.06,uniswap,0xbb00FF08d01D300023C629E8fFfFcb65A5a578cE,14328102,14328102,0,0.00,0.02,100.00,-0.00,334956,3000000000,0.001004868,0.02,18,0
0xbc37fb4190424bc4d072487543884472fe226254311abc784cd8c4d0e6de3b4d,2025-03-15T19:02:21.000Z,58770130,success,traderjoe-to-uniswap,true,USDC,WAVAX,15635453,15.635453,50268796,50.268796,-20401,-0.020401,-0.13,traderjoe,0x18556DA13313f3532c54711497A8FedAC273220E,843397286030054528,843688139028111086,0.00029085299805664544,0.03,uniswap,0xbb00FF08d01D300023C629E8fFfFcb65A5a578cE,15615052,15615052,0,0.00,0.01,100.00,-0.00,334984,3000000000,0.001004952,0.02,18,0
